district,CVAP_TOT24
1,59190
2,73304
3,65150
4,65445
5,70319
6,71789
7,56243
8,67354
9,68406
10,74144
11,66795
12,63579
13,75048
14,70224
15,66046
16,71275
17,58064
18,71798
19,70830
20,69378
21,61111
22,67761
23,70989
24,69976
25,68222
26,67379
27,70051
28,67006
29,69423
30,68195
31,54708
32,58899
33,67859
34,63163
35,56332
36,56201
37,63420
38,69479
39,70483
40,63216
41,61072
42,51965
43,65490
44,66934
45,70337
46,69217
47,71158
48,64747
49,69547
50,57185
51,70523
52,68534
53,76493
54,69346
55,70996
56,67442
57,62137
58,73111
59,73999
60,76068
61,66740
62,66795
63,63472
64,69860
65,73746
