county_name,county_norm,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Colorado,COLORADO,5786873,5814368,5853355,5912240,5988502,6012561,225688,3.9,24059,0.4018
Adams County,ADAMS,520411,523159,528035,537158,549257,554668,34257,6.5827,5411,0.9851
Alamosa County,ALAMOSA,16377,16584,16630,16695,16691,16688,311,1.899,-3,-0.018
Arapahoe County,ARAPAHOE,655269,657020,659472,665778,675760,673820,18551,2.8311,-1940,-0.2871
Archuleta County,ARCHULETA,13426,13808,13975,14156,14134,14306,880,6.5544,172,1.2169
Baca County,BACA,3478,3491,3430,3375,3386,3347,-131,-3.7665,-39,-1.1518
Bent County,BENT,5472,5336,5428,5711,5745,5716,244,4.4591,-29,-0.5048
Boulder County,BOULDER,330982,327325,327914,327945,329485,328560,-2422,-0.7318,-925,-0.2807
Broomfield County,BROOMFIELD,74482,75413,76133,76972,78403,79174,4692,6.2995,771,0.9834
Chaffee County,CHAFFEE,19486,19731,20252,20596,20796,20831,1345,6.9024,35,0.1683
Cheyenne County,CHEYENNE,1746,1718,1729,1718,1692,1713,-33,-1.89,21,1.2411
Clear Creek County,CLEAR CREEK,9358,9403,9282,9078,9023,8994,-364,-3.8897,-29,-0.3214
Conejos County,CONEJOS,7457,7588,7569,7500,7524,7529,72,0.9655,5,0.0665
Costilla County,COSTILLA,3499,3607,3602,3618,3673,3679,180,5.1443,6,0.1634
Crowley County,CROWLEY,5707,5758,5611,5639,5648,5677,-30,-0.5257,29,0.5135
Custer County,CUSTER,4724,5069,5349,5559,5567,5590,866,18.3319,23,0.4131
Delta County,DELTA,31062,31414,31575,31786,32294,32178,1116,3.5928,-116,-0.3592
Denver County,DENVER,717680,712156,716800,726763,741591,740613,22933,3.1954,-978,-0.1319
Dolores County,DOLORES,2331,2375,2458,2521,2452,2466,135,5.7915,14,0.571
Douglas County,DOUGLAS,360315,369831,376188,384579,393051,399396,39081,10.8463,6345,1.6143
Eagle County,EAGLE,55657,55786,55347,54807,54635,54291,-1366,-2.4543,-344,-0.6296
Elbert County,ELBERT,26211,27164,27844,28820,29344,30534,4323,16.4931,1190,4.0553
El Paso County,EL PASO,733721,738405,741819,745819,752356,757040,23319,3.1782,4684,0.6226
Fremont County,FREMONT,48880,49212,49544,50315,50004,50039,1159,2.3711,35,0.07
Garfield County,GARFIELD,61793,62122,62458,63215,63820,63474,1681,2.7204,-346,-0.5421
Gilpin County,GILPIN,5817,5891,5898,5899,5955,6073,256,4.4009,118,1.9815
Grand County,GRAND,15748,15858,15781,16051,16283,16496,748,4.7498,213,1.3081
Gunnison County,GUNNISON,16950,17291,17324,17359,17407,17439,489,2.885,32,0.1838
Hinsdale County,HINSDALE,789,773,774,768,753,753,-36,-4.5627,0,0
Huerfano County,HUERFANO,6824,6940,7089,7049,6993,7011,187,2.7403,18,0.2574
Jackson County,JACKSON,1379,1360,1314,1311,1277,1211,-168,-12.1827,-66,-5.1684
Jefferson County,JEFFERSON,583131,581002,576703,578084,580359,580451,-2680,-0.4596,92,0.0159
Kiowa County,KIOWA,1453,1452,1429,1375,1403,1412,-41,-2.8217,9,0.6415
Kit Carson County,KIT CARSON,7062,6930,7000,7000,7027,7069,7,0.0991,42,0.5977
Lake County,LAKE,7409,7404,7387,7424,7471,7552,143,1.9301,81,1.0842
La Plata County,LA PLATA,55679,56164,56576,56408,56930,56898,1219,2.1893,-32,-0.0562
Larimer County,LARIMER,359942,362865,367972,371192,374200,377292,17350,4.8202,3092,0.8263
Las Animas County,LAS ANIMAS,14491,14335,14299,14389,14511,14391,-100,-0.6901,-120,-0.827
Lincoln County,LINCOLN,5666,5470,5515,5495,5602,5645,-21,-0.3706,43,0.7676
Logan County,LOGAN,21221,21015,20798,20596,20690,20654,-567,-2.6719,-36,-0.174
Mesa County,MESA,156007,157516,158634,159794,161400,162845,6838,4.3831,1445,0.8953
Mineral County,MINERAL,870,921,919,926,924,910,40,4.5977,-14,-1.5152
Moffat County,MOFFAT,13267,13161,13201,13388,13304,13122,-145,-1.0929,-182,-1.368
Montezuma County,MONTEZUMA,25890,26258,26474,26566,26694,26678,788,3.0436,-16,-0.0599
Montrose County,MONTROSE,42825,43247,43838,44238,44687,44591,1766,4.1238,-96,-0.2148
Morgan County,MORGAN,29080,29020,29492,29945,30316,30306,1226,4.216,-10,-0.033
Otero County,OTERO,18659,18517,18244,18117,17888,17683,-976,-5.2307,-205,-1.146
Ouray County,OURAY,4879,5059,5095,5167,5173,5265,386,7.9115,92,1.7785
Park County,PARK,17425,17763,17940,18147,18349,18314,889,5.1019,-35,-0.1907
Phillips County,PHILLIPS,4528,4504,4444,4460,4454,4420,-108,-2.3852,-34,-0.7634
Pitkin County,PITKIN,17363,17360,16896,16761,16766,16625,-738,-4.2504,-141,-0.841
Prowers County,PROWERS,12012,11939,11828,11766,11904,11884,-128,-1.0656,-20,-0.168
Pueblo County,PUEBLO,168334,169383,169540,169878,170162,169277,943,0.5602,-885,-0.5201
Rio Blanco County,RIO BLANCO,6522,6444,6572,6646,6792,6683,161,2.4686,-109,-1.6048
Rio Grande County,RIO GRANDE,11538,11403,11315,11196,11143,11087,-451,-3.9088,-56,-0.5026
Routt County,ROUTT,24837,25073,25173,25290,25471,25329,492,1.9809,-142,-0.5575
Saguache County,SAGUACHE,6396,6524,6642,6704,6686,6732,336,5.2533,46,0.688
San Juan County,SAN JUAN,710,739,801,802,821,813,103,14.507,-8,-0.9744
San Miguel County,SAN MIGUEL,8053,8086,8009,7874,7818,7753,-300,-3.7253,-65,-0.8314
Sedgwick County,SEDGWICK,2391,2327,2290,2313,2271,2247,-144,-6.0226,-24,-1.0568
Summit County,SUMMIT,31237,31250,31276,31343,31643,31517,280,0.8964,-126,-0.3982
Teller County,TELLER,24746,24954,24854,24678,24743,24756,10,0.0404,13,0.0525
Washington County,WASHINGTON,4810,4865,4839,4849,4748,4732,-78,-1.6216,-16,-0.337
Weld County,WELD,331434,339891,350793,360971,371280,378426,46992,14.1784,7146,1.9247
Yuma County,YUMA,9975,9939,9943,9898,9873,9896,-79,-0.792,23,0.233
