precinct_id,vap_18plus,white_vap,black_vap,hispanic_vap,native_vap,asian_vap,pacific_vap,multiracial_vap,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
ADAMS - 001001,2337,1261,93,817,7,0,0,147,53.96,3.98,34.96,0.3,0.0,0.0,6.29
ADAMS - 001002,2105,1097,25,939,0,6,0,39,52.11,1.19,44.61,0.0,0.29,0.0,1.85
ADAMS - 001003,2096,1399,15,506,3,226,0,47,66.75,0.72,24.14,0.14,10.78,0.0,2.24
ADAMS - 001004,1257,351,11,802,6,57,0,34,27.92,0.88,63.8,0.48,4.53,0.0,2.7
ADAMS - 001005,1894,922,0,963,0,10,0,7,48.68,0.0,50.84,0.0,0.53,0.0,0.37
ADAMS - 001006,1671,660,9,818,7,10,0,35,39.5,0.54,48.95,0.42,0.6,0.0,2.09
ADAMS - 001007,1098,653,0,353,0,88,9,42,59.47,0.0,32.15,0.0,8.01,0.82,3.83
ADAMS - 001008,1215,705,0,193,12,242,0,63,58.02,0.0,15.88,0.99,19.92,0.0,5.19
ADAMS - 001009,881,651,0,156,14,11,0,49,73.89,0.0,17.71,1.59,1.25,0.0,5.56
ADAMS - 001010,2253,1210,74,808,0,115,13,34,53.71,3.28,35.86,0.0,5.1,0.58,1.51
ADAMS - 001011,3014,1117,38,1575,2,161,0,104,37.06,1.26,52.26,0.07,5.34,0.0,3.45
ADAMS - 001012,1566,974,49,513,0,21,0,9,62.2,3.13,32.76,0.0,1.34,0.0,0.57
ADAMS - 001013,1909,1265,11,520,72,23,0,18,66.27,0.58,27.24,3.77,1.2,0.0,0.94
ADAMS - 001014,1196,662,0,527,12,0,4,15,55.35,0.0,44.06,1.0,0.0,0.33,1.25
ADAMS - 001015,2941,1319,0,1440,0,42,0,116,44.85,0.0,48.96,0.0,1.43,0.0,3.94
ADAMS - 001016,1427,774,4,595,0,38,0,14,54.24,0.28,41.7,0.0,2.66,0.0,0.98
ADAMS - 001017,867,499,0,303,0,40,0,27,57.55,0.0,34.95,0.0,4.61,0.0,3.11
ADAMS - 001018,1481,756,0,665,0,33,0,13,51.05,0.0,44.9,0.0,2.23,0.0,0.88
ADAMS - 001019,1038,508,14,504,0,3,0,11,48.94,1.35,48.55,0.0,0.29,0.0,1.06
ADAMS - 001020,1581,539,0,873,10,120,0,39,34.09,0.0,55.22,0.63,7.59,0.0,2.47
ADAMS - 001021,2412,1298,0,1051,0,0,0,26,53.81,0.0,43.57,0.0,0.0,0.0,1.08
ADAMS - 001022,1716,604,0,918,43,0,88,79,35.2,0.0,53.5,2.51,0.0,5.13,4.6
ADAMS - 001023,1672,617,57,839,0,16,106,17,36.9,3.41,50.18,0.0,0.96,6.34,1.02
ADAMS - 001024,1598,750,56,786,0,0,9,16,46.93,3.5,49.19,0.0,0.0,0.56,1.0
ADAMS - 001025,1704,660,0,879,21,92,0,51,38.73,0.0,51.58,1.23,5.4,0.0,2.99
ADAMS - 001026,2561,1339,5,1078,0,117,0,20,52.28,0.2,42.09,0.0,4.57,0.0,0.78
ADAMS - 001027,1865,883,11,872,0,41,0,56,47.35,0.59,46.76,0.0,2.2,0.0,3.0
ADAMS - 001028,1638,660,49,865,0,21,0,65,40.29,2.99,52.81,0.0,1.28,0.0,3.97
ADAMS - 001029,2582,1211,255,998,0,91,0,27,46.9,9.88,38.65,0.0,3.52,0.0,1.05
ADAMS - 001030,1781,764,5,1006,0,9,0,0,42.9,0.28,56.49,0.0,0.51,0.0,0.0
ADAMS - 001031,1712,1029,12,463,6,147,4,28,60.11,0.7,27.04,0.35,8.59,0.23,1.64
ADAMS - 001032,1260,779,83,335,3,79,6,12,61.83,6.59,26.59,0.24,6.27,0.48,0.95
ADAMS - 001033,2128,1347,4,515,18,222,0,24,63.3,0.19,24.2,0.85,10.43,0.0,1.13
ADAMS - 001034,1354,685,14,590,21,23,0,21,50.59,1.03,43.57,1.55,1.7,0.0,1.55
ADAMS - 001035,1509,569,58,840,10,0,0,29,37.71,3.84,55.67,0.66,0.0,0.0,1.92
ADAMS - 001036,1183,993,0,173,20,0,0,0,83.94,0.0,14.62,1.69,0.0,0.0,0.0
ADAMS - 001037,1133,321,0,789,0,8,0,13,28.33,0.0,69.64,0.0,0.71,0.0,1.15
ADAMS - 001038,2208,1149,42,737,5,119,0,140,52.04,1.9,33.38,0.23,5.39,0.0,6.34
ADAMS - 001039,1402,764,0,491,16,20,0,144,54.49,0.0,35.02,1.14,1.43,0.0,10.27
ADAMS - 001040,984,606,24,240,0,103,0,1,61.59,2.44,24.39,0.0,10.47,0.0,0.1
ADAMS - 001041,1357,777,0,282,22,242,0,29,57.26,0.0,20.78,1.62,17.83,0.0,2.14
ADAMS - 001042,1199,575,40,372,0,169,0,43,47.96,3.34,31.03,0.0,14.1,0.0,3.59
ADAMS - 001043,933,864,0,67,0,4,0,5,92.6,0.0,7.18,0.0,0.43,0.0,0.54
ADAMS - 001044,1616,1120,0,439,0,18,0,32,69.31,0.0,27.17,0.0,1.11,0.0,1.98
ADAMS - 001045,624,441,29,131,0,28,0,6,70.67,4.65,20.99,0.0,4.49,0.0,0.96
ADAMS - 001046,607,470,11,64,0,45,0,8,77.43,1.81,10.54,0.0,7.41,0.0,1.32
ADAMS - 001047,1065,791,0,232,0,17,0,21,74.27,0.0,21.78,0.0,1.6,0.0,1.97
ADAMS - 001048,807,611,4,111,0,63,0,1,75.71,0.5,13.75,0.0,7.81,0.0,0.12
ADAMS - 001049,1217,895,4,245,0,74,0,0,73.54,0.33,20.13,0.0,6.08,0.0,0.0
ADAMS - 001050,1282,1119,0,44,0,70,0,49,87.29,0.0,3.43,0.0,5.46,0.0,3.82
ADAMS - 001051,2218,1205,63,898,13,2,0,23,54.33,2.84,40.49,0.59,0.09,0.0,1.04
ADAMS - 001052,2324,1091,53,752,0,309,0,120,46.94,2.28,32.36,0.0,13.3,0.0,5.16
ADAMS - 001053,1379,899,3,373,0,79,5,34,65.19,0.22,27.05,0.0,5.73,0.36,2.47
ADAMS - 001054,916,898,0,0,0,18,0,0,98.03,0.0,0.0,0.0,1.97,0.0,0.0
ADAMS - 001055,1183,886,2,225,0,69,0,0,74.89,0.17,19.02,0.0,5.83,0.0,0.0
ADAMS - 001056,1232,1016,0,168,0,60,0,5,82.47,0.0,13.64,0.0,4.87,0.0,0.41
ADAMS - 001057,1210,792,0,161,0,221,0,40,65.45,0.0,13.31,0.0,18.26,0.0,3.31
ADAMS - 001058,1461,1183,0,134,0,86,0,54,80.97,0.0,9.17,0.0,5.89,0.0,3.7
ADAMS - 001059,1151,977,0,136,0,38,0,0,84.88,0.0,11.82,0.0,3.3,0.0,0.0
ADAMS - 001060,1677,1282,0,350,0,65,0,0,76.45,0.0,20.87,0.0,3.88,0.0,0.0
ADAMS - 001061,1701,1314,38,266,0,66,0,6,77.25,2.23,15.64,0.0,3.88,0.0,0.35
ADAMS - 001062,1418,1106,17,244,0,36,0,5,78.0,1.2,17.21,0.0,2.54,0.0,0.35
ADAMS - 001063,1614,1141,9,213,145,49,0,57,70.69,0.56,13.2,8.98,3.04,0.0,3.53
ADAMS - 001064,2406,1534,44,602,8,49,0,169,63.76,1.83,25.02,0.33,2.04,0.0,7.02
ADAMS - 001065,1486,740,32,531,0,122,0,61,49.8,2.15,35.73,0.0,8.21,0.0,4.1
ADAMS - 001066,1048,524,8,420,0,31,0,0,50.0,0.76,40.08,0.0,2.96,0.0,0.0
ADAMS - 001067,989,857,9,141,0,47,0,0,86.65,0.91,14.26,0.0,4.75,0.0,0.0
ADAMS - 001068,1337,982,0,207,0,143,0,7,73.45,0.0,15.48,0.0,10.7,0.0,0.52
ADAMS - 001069,2046,1602,50,184,0,135,0,73,78.3,2.44,8.99,0.0,6.6,0.0,3.57
ADAMS - 001070,958,867,0,35,0,0,0,56,90.5,0.0,3.65,0.0,0.0,0.0,5.85
ADAMS - 001071,1223,925,80,137,0,71,0,13,75.63,6.54,11.2,0.0,5.81,0.0,1.06
ADAMS - 001072,933,638,4,211,0,41,0,27,68.38,0.43,22.62,0.0,4.39,0.0,2.89
ADAMS - 001073,2242,1814,0,339,0,60,0,28,80.91,0.0,15.12,0.0,2.68,0.0,1.25
ADAMS - 001074,1217,888,0,241,0,82,0,6,72.97,0.0,19.8,0.0,6.74,0.0,0.49
ADAMS - 001075,749,589,11,148,0,2,0,9,78.64,1.47,19.76,0.0,0.27,0.0,1.2
ADAMS - 001076,1376,808,67,312,4,42,0,110,58.72,4.87,22.67,0.29,3.05,0.0,7.99
ADAMS - 001077,1126,646,117,192,1,41,0,159,57.37,10.39,17.05,0.09,3.64,0.0,14.12
ADAMS - 001078,707,563,4,117,0,0,0,13,79.63,0.57,16.55,0.0,0.0,0.0,1.84
ADAMS - 001079,861,698,0,104,0,0,21,53,81.07,0.0,12.08,0.0,0.0,2.44,6.16
ADAMS - 001080,1145,827,38,224,0,9,0,0,72.23,3.32,19.56,0.0,0.79,0.0,0.0
ADAMS - 001081,964,784,6,137,0,10,0,17,81.33,0.62,14.21,0.0,1.04,0.0,1.76
ADAMS - 001082,952,804,0,109,0,16,0,88,84.45,0.0,11.45,0.0,1.68,0.0,9.24
ADAMS - 001083,1547,977,0,353,0,132,0,67,63.15,0.0,22.82,0.0,8.53,0.0,4.33
ADAMS - 001084,644,487,6,83,0,34,11,27,75.62,0.93,12.89,0.0,5.28,1.71,4.19
ADAMS - 001085,1131,1005,9,92,0,14,0,9,88.86,0.8,8.13,0.0,1.24,0.0,0.8
ADAMS - 001086,938,593,33,231,0,18,0,62,63.22,3.52,24.63,0.0,1.92,0.0,6.61
ADAMS - 001087,2997,1632,164,942,0,163,0,91,54.45,5.47,31.43,0.0,5.44,0.0,3.04
ADAMS - 001088,1878,1239,309,300,0,34,0,18,65.97,16.45,15.97,0.0,1.81,0.0,0.96
ADAMS - 001089,1687,1073,51,454,0,27,0,73,63.6,3.02,26.91,0.0,1.6,0.0,4.33
ADAMS - 001090,3015,1929,171,503,0,88,0,306,63.98,5.67,16.68,0.0,2.92,0.0,10.15
ADAMS - 001091,1479,1101,31,346,0,19,0,0,74.44,2.1,23.39,0.0,1.28,0.0,0.0
ADAMS - 001092,1717,1347,113,154,0,89,0,45,78.45,6.58,8.97,0.0,5.18,0.0,2.62
ADAMS - 001093,1830,1168,24,580,38,58,0,16,63.83,1.31,31.69,2.08,3.17,0.0,0.87
ADAMS - 001094,1558,913,19,524,12,6,0,31,58.6,1.22,33.63,0.77,0.39,0.0,1.99
ADAMS - 001095,1746,720,0,987,10,0,0,29,41.24,0.0,56.53,0.57,0.0,0.0,1.66
ADAMS - 001096,1391,766,50,433,0,74,0,37,55.07,3.59,31.13,0.0,5.32,0.0,2.66
ADAMS - 001097,1619,930,3,630,0,12,0,34,57.44,0.19,38.91,0.0,0.74,0.0,2.1
ADAMS - 001098,1018,600,10,385,0,0,0,0,58.94,0.98,37.82,0.0,0.0,0.0,0.0
ADAMS - 001099,1138,654,97,381,21,0,0,8,57.47,8.52,33.48,1.85,0.0,0.0,0.7
ADAMS - 001100,1749,995,17,698,15,5,0,19,56.89,0.97,39.91,0.86,0.29,0.0,1.09
ADAMS - 001101,2335,1430,0,839,0,61,0,5,61.24,0.0,35.93,0.0,2.61,0.0,0.21
ADAMS - 001102,1662,830,0,784,21,4,0,23,49.94,0.0,47.17,1.26,0.24,0.0,1.38
ADAMS - 001103,1163,667,19,387,7,32,7,44,57.35,1.63,33.28,0.6,2.75,0.6,3.78
ADAMS - 001104,1291,588,0,470,3,111,0,121,45.55,0.0,36.41,0.23,8.6,0.0,9.37
ADAMS - 001105,416,192,47,157,5,7,0,3,46.15,11.3,37.74,1.2,1.68,0.0,0.72
ADAMS - 001106,2246,1276,88,635,0,4,140,103,56.81,3.92,28.27,0.0,0.18,6.23,4.59
ADAMS - 001107,1812,1448,16,207,0,68,0,73,79.91,0.88,11.42,0.0,3.75,0.0,4.03
ADAMS - 001108,2333,1080,50,1053,45,92,0,21,46.29,2.14,45.14,1.93,3.94,0.0,0.9
ADAMS - 001109,1656,956,1,537,0,68,0,105,57.73,0.06,32.43,0.0,4.11,0.0,6.34
ADAMS - 001110,755,445,0,186,0,51,0,73,58.94,0.0,24.64,0.0,6.75,0.0,9.67
ADAMS - 001111,1976,597,34,1221,9,49,0,39,30.21,1.72,61.79,0.46,2.48,0.0,1.97
ADAMS - 001112,1430,418,45,901,29,8,0,0,29.23,3.15,63.01,2.03,0.56,0.0,0.0
ADAMS - 001113,1681,851,14,755,29,14,0,54,50.62,0.83,44.91,1.73,0.83,0.0,3.21
ADAMS - 001114,1298,427,111,654,0,65,0,74,32.9,8.55,50.39,0.0,5.01,0.0,5.7
ADAMS - 001115,1580,742,2,771,0,1,0,61,46.96,0.13,48.8,0.0,0.06,0.0,3.86
ADAMS - 001116,959,525,32,333,0,30,0,54,54.74,3.34,34.72,0.0,3.13,0.0,5.63
ADAMS - 001117,2334,1123,27,1067,11,105,0,27,48.11,1.16,45.72,0.47,4.5,0.0,1.16
ADAMS - 001118,1918,925,0,848,5,43,0,47,48.23,0.0,44.21,0.26,2.24,0.0,2.45
ADAMS - 001119,2221,867,123,1049,0,126,0,8,39.04,5.54,47.23,0.0,5.67,0.0,0.36
ADAMS - 001120,1799,840,33,782,0,118,0,17,46.69,1.83,43.47,0.0,6.56,0.0,0.94
ADAMS - 001121,1471,903,38,495,2,26,0,12,61.39,2.58,33.65,0.14,1.77,0.0,0.82
ADAMS - 001122,1197,358,41,670,2,35,0,128,29.91,3.43,55.97,0.17,2.92,0.0,10.69
ADAMS - 001123,2252,862,261,992,0,94,0,26,38.28,11.59,44.05,0.0,4.17,0.0,1.15
ADAMS - 001124,1545,336,66,1114,4,20,0,20,21.75,4.27,72.1,0.26,1.29,0.0,1.29
ADAMS - 001125,1238,505,0,679,6,0,0,42,40.79,0.0,54.85,0.48,0.0,0.0,3.39
ADAMS - 001126,1860,836,6,942,14,13,6,40,44.95,0.32,50.65,0.75,0.7,0.32,2.15
