precinct_id,vap_18plus,white_vap,black_vap,hispanic_vap,native_vap,asian_vap,pacific_vap,multiracial_vap,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
ADAMS - 001127,1348,442,0,864,13,13,0,18,32.79,0.0,64.09,0.96,0.96,0.0,1.34
ADAMS - 001128,2471,869,0,1547,5,0,6,44,35.17,0.0,62.61,0.2,0.0,0.24,1.78
ADAMS - 001129,2694,1194,52,1433,0,2,0,17,44.32,1.93,53.19,0.0,0.07,0.0,0.63
ADAMS - 001130,406,303,0,117,0,0,0,1,74.63,0.0,28.82,0.0,0.0,0.0,0.25
ADAMS - 001131,1319,610,22,656,61,15,0,0,46.25,1.67,49.73,4.62,1.14,0.0,0.0
ADAMS - 001132,2151,1062,39,837,72,94,0,47,49.37,1.81,38.91,3.35,4.37,0.0,2.19
ADAMS - 001133,2184,1206,25,840,0,63,0,0,55.22,1.14,38.46,0.0,2.88,0.0,0.0
ADAMS - 001134,1585,934,0,520,16,105,0,30,58.93,0.0,32.81,1.01,6.62,0.0,1.89
ADAMS - 001135,1888,1391,0,428,0,70,0,8,73.68,0.0,22.67,0.0,3.71,0.0,0.42
ADAMS - 001136,1100,640,15,382,0,0,8,64,58.18,1.36,34.73,0.0,0.0,0.73,5.82
ADAMS - 001137,1627,1013,0,406,0,135,4,50,62.26,0.0,24.95,0.0,8.3,0.25,3.07
ADAMS - 001138,1043,724,36,212,0,35,0,15,69.42,3.45,20.33,0.0,3.36,0.0,1.44
ADAMS - 001139,436,259,26,94,0,26,0,46,59.4,5.96,21.56,0.0,5.96,0.0,10.55
ADAMS - 001140,1070,615,0,373,2,20,0,24,57.48,0.0,34.86,0.19,1.87,0.0,2.24
ADAMS - 001141,1785,1185,0,538,8,22,0,61,66.39,0.0,30.14,0.45,1.23,0.0,3.42
ADAMS - 001142,1406,910,17,269,0,200,0,13,64.72,1.21,19.13,0.0,14.22,0.0,0.92
ADAMS - 001143,1422,623,174,476,0,56,0,70,43.81,12.24,33.47,0.0,3.94,0.0,4.92
ADAMS - 001144,1586,815,234,479,0,39,0,42,51.39,14.75,30.2,0.0,2.46,0.0,2.65
ADAMS - 001145,1896,1187,2,566,29,87,0,32,62.61,0.11,29.85,1.53,4.59,0.0,1.69
ADAMS - 001146,1618,1099,43,389,10,15,0,69,67.92,2.66,24.04,0.62,0.93,0.0,4.26
ADAMS - 001147,2042,1366,0,621,9,24,0,0,66.9,0.0,30.41,0.44,1.18,0.0,0.0
ADAMS - 001148,1103,782,38,225,0,32,0,26,70.9,3.45,20.4,0.0,2.9,0.0,2.36
ADAMS - 001149,949,682,0,146,0,76,0,8,71.87,0.0,15.38,0.0,8.01,0.0,0.84
ADAMS - 001150,1980,1524,25,389,0,39,0,28,76.97,1.26,19.65,0.0,1.97,0.0,1.41
ADAMS - 001151,1412,1095,0,220,0,54,0,49,77.55,0.0,15.58,0.0,3.82,0.0,3.47
ADAMS - 001152,1585,890,50,388,0,174,0,90,56.15,3.15,24.48,0.0,10.98,0.0,5.68
ADAMS - 001153,1168,683,0,458,0,16,0,4,58.48,0.0,39.21,0.0,1.37,0.0,0.34
ADAMS - 001154,74,46,0,25,0,0,0,0,62.16,0.0,33.78,0.0,0.0,0.0,0.0
ADAMS - 001155,500,310,0,195,0,2,0,0,62.0,0.0,39.0,0.0,0.4,0.0,0.0
ADAMS - 001156,533,341,22,156,0,9,0,5,63.98,4.13,29.27,0.0,1.69,0.0,0.94
ADAMS - 001157,1090,621,0,376,0,81,0,5,56.97,0.0,34.5,0.0,7.43,0.0,0.46
ADAMS - 001158,1312,904,4,369,35,0,0,0,68.9,0.3,28.12,2.67,0.0,0.0,0.0
ADAMS - 001159,1779,1307,27,188,10,211,0,36,73.47,1.52,10.57,0.56,11.86,0.0,2.02
ADAMS - 001160,970,498,0,231,0,235,0,16,51.34,0.0,23.81,0.0,24.23,0.0,1.65
ADAMS - 001161,481,349,24,90,0,0,0,0,72.56,4.99,18.71,0.0,0.0,0.0,0.0
ADAMS - 001162,1032,804,2,175,1,21,0,22,77.91,0.19,16.96,0.1,2.03,0.0,2.13
ADAMS - 001163,755,537,7,177,3,12,0,26,71.13,0.93,23.44,0.4,1.59,0.0,3.44
ADAMS - 001164,583,445,0,145,0,6,0,1,76.33,0.0,24.87,0.0,1.03,0.0,0.17
ADAMS - 001165,1572,1507,0,80,0,0,0,0,95.87,0.0,5.09,0.0,0.0,0.0,0.0
ADAMS - 001166,573,443,0,115,0,18,0,2,77.31,0.0,20.07,0.0,3.14,0.0,0.35
ADAMS - 001167,704,548,0,132,0,23,0,2,77.84,0.0,18.75,0.0,3.27,0.0,0.28
ADAMS - 001168,1193,788,0,253,0,126,0,28,66.05,0.0,21.21,0.0,10.56,0.0,2.35
ADAMS - 001169,574,439,0,102,0,11,0,4,76.48,0.0,17.77,0.0,1.92,0.0,0.7
ADAMS - 001170,1859,847,7,930,5,0,0,56,45.56,0.38,50.03,0.27,0.0,0.0,3.01
ADAMS - 001171,1638,1000,39,586,11,5,0,33,61.05,2.38,35.78,0.67,0.31,0.0,2.01
ADAMS - 001172,1133,751,94,234,9,5,0,24,66.28,8.3,20.65,0.79,0.44,0.0,2.12
ADAMS - 001173,126,85,0,28,0,11,0,0,67.46,0.0,22.22,0.0,8.73,0.0,0.0
ADAMS - 001174,709,555,0,123,0,18,0,9,78.28,0.0,17.35,0.0,2.54,0.0,1.27
ADAMS - 001175,1302,706,54,469,0,56,0,19,54.22,4.15,36.02,0.0,4.3,0.0,1.46
ADAMS - 001176,471,265,43,124,0,27,0,10,56.26,9.13,26.33,0.0,5.73,0.0,2.12
ADAMS - 001177,918,562,17,218,4,64,0,41,61.22,1.85,23.75,0.44,6.97,0.0,4.47
ADAMS - 001178,20,9,0,1,0,0,0,4,45.0,0.0,5.0,0.0,0.0,0.0,20.0
ADAMS - 001179,57,38,0,11,0,10,0,7,66.67,0.0,19.3,0.0,17.54,0.0,12.28
ADAMS - 001180,1746,1218,28,349,8,66,0,86,69.76,1.6,19.99,0.46,3.78,0.0,4.93
ADAMS - 001181,1566,1015,26,327,0,139,0,59,64.81,1.66,20.88,0.0,8.88,0.0,3.77
ADAMS - 001182,922,553,6,329,0,0,0,43,59.98,0.65,35.68,0.0,0.0,0.0,4.66
ADAMS - 001183,373,235,6,113,0,0,0,10,63.0,1.61,30.29,0.0,0.0,0.0,2.68
ADAMS - 001184,603,312,29,224,0,0,0,39,51.74,4.81,37.15,0.0,0.0,0.0,6.47
ADAMS - 001185,691,381,0,290,0,0,0,19,55.14,0.0,41.97,0.0,0.0,0.0,2.75
ADAMS - 001186,1592,898,97,567,0,0,0,27,56.41,6.09,35.62,0.0,0.0,0.0,1.7
ADAMS - 001187,1350,866,68,389,0,0,0,23,64.15,5.04,28.81,0.0,0.0,0.0,1.7
ADAMS - 001188,756,524,7,180,0,0,0,45,69.31,0.93,23.81,0.0,0.0,0.0,5.95
ADAMS - 001189,1015,780,0,175,0,21,0,56,76.85,0.0,17.24,0.0,2.07,0.0,5.52
ADAMS - 001190,1560,971,0,476,0,17,0,72,62.24,0.0,30.51,0.0,1.09,0.0,4.62
ADAMS - 001191,2489,1445,15,947,0,4,60,37,58.06,0.6,38.05,0.0,0.16,2.41,1.49
ADAMS - 001192,1480,621,35,785,0,0,0,30,41.96,2.36,53.04,0.0,0.0,0.0,2.03
ADAMS - 001193,1135,780,0,293,7,23,0,32,68.72,0.0,25.81,0.62,2.03,0.0,2.82
ADAMS - 001194,919,583,3,265,1,12,7,26,63.44,0.33,28.84,0.11,1.31,0.76,2.83
ADAMS - 001195,687,559,3,100,1,21,0,50,81.37,0.44,14.56,0.15,3.06,0.0,7.28
ADAMS - 001196,331,147,2,128,1,8,0,5,44.41,0.6,38.67,0.3,2.42,0.0,1.51
ADAMS - 001197,729,491,3,165,1,32,0,47,67.35,0.41,22.63,0.14,4.39,0.0,6.45
ADAMS - 001198,1156,682,5,445,1,0,0,26,59.0,0.43,38.49,0.09,0.0,0.0,2.25
ADAMS - 001199,1332,937,10,238,0,47,0,89,70.35,0.75,17.87,0.0,3.53,0.0,6.68
ADAMS - 001200,175,154,3,15,0,8,0,15,88.0,1.71,8.57,0.0,4.57,0.0,8.57
ADAMS - 001201,637,453,35,102,0,17,0,46,71.11,5.49,16.01,0.0,2.67,0.0,7.22
ADAMS - 001202,1111,708,27,210,0,90,0,33,63.73,2.43,18.9,0.0,8.1,0.0,2.97
ADAMS - 001203,963,712,36,142,0,63,0,17,73.94,3.74,14.75,0.0,6.54,0.0,1.77
ADAMS - 001204,767,536,0,181,0,18,0,34,69.88,0.0,23.6,0.0,2.35,0.0,4.43
ADAMS - 001205,1672,1116,10,512,0,0,0,20,66.75,0.6,30.62,0.0,0.0,0.0,1.2
ADAMS - 001206,1821,979,0,765,0,51,0,49,53.76,0.0,42.01,0.0,2.8,0.0,2.69
ADAMS - 001207,956,540,0,340,0,44,0,17,56.49,0.0,35.56,0.0,4.6,0.0,1.78
ADAMS - 001208,1168,515,70,400,0,34,0,73,44.09,5.99,34.25,0.0,2.91,0.0,6.25
ADAMS - 001209,1783,1077,155,384,0,158,0,85,60.4,8.69,21.54,0.0,8.86,0.0,4.77
ADAMS - 001210,2604,1115,112,1061,0,193,0,114,42.82,4.3,40.75,0.0,7.41,0.0,4.38
ADAMS - 001211,671,280,35,285,0,21,0,59,41.73,5.22,42.47,0.0,3.13,0.0,8.79
ADAMS - 001212,981,557,142,189,0,33,0,65,56.78,14.48,19.27,0.0,3.36,0.0,6.63
ADAMS - 001213,1404,755,250,290,0,41,10,39,53.77,17.81,20.66,0.0,2.92,0.71,2.78
ADAMS - 001214,1664,923,118,408,0,39,8,145,55.47,7.09,24.52,0.0,2.34,0.48,8.71
ADAMS - 001215,1739,1023,0,674,11,15,0,49,58.83,0.0,38.76,0.63,0.86,0.0,2.82
ADAMS - 001216,1933,832,130,867,0,80,0,29,43.04,6.73,44.85,0.0,4.14,0.0,1.5
ADAMS - 001217,988,549,64,343,0,0,0,27,55.57,6.48,34.72,0.0,0.0,0.0,2.73
ADAMS - 001218,1186,617,38,529,0,7,0,13,52.02,3.2,44.6,0.0,0.59,0.0,1.1
ADAMS - 001219,991,464,75,480,0,0,0,4,46.82,7.57,48.44,0.0,0.0,0.0,0.4
ADAMS - 001220,337,116,47,184,0,0,0,13,34.42,13.95,54.6,0.0,0.0,0.0,3.86
ADAMS - 001221,739,380,21,255,0,1,0,13,51.42,2.84,34.51,0.0,0.14,0.0,1.76
ADAMS - 001222,808,395,56,290,0,40,0,27,48.89,6.93,35.89,0.0,4.95,0.0,3.34
ADAMS - 001223,10,0,0,5,0,1,0,1,0.0,0.0,50.0,0.0,10.0,0.0,10.0
ADAMS - 001224,54,35,0,8,0,5,0,1,64.81,0.0,14.81,0.0,9.26,0.0,1.85
ADAMS - 001225,297,245,1,55,0,1,0,5,82.49,0.34,18.52,0.0,0.34,0.0,1.68
ADAMS - 001226,327,234,0,76,0,8,0,5,71.56,0.0,23.24,0.0,2.45,0.0,1.53
ADAMS - 001227,299,235,0,57,0,0,0,0,78.6,0.0,19.06,0.0,0.0,0.0,0.0
ADAMS - 001228,797,633,0,131,0,0,0,43,79.42,0.0,16.44,0.0,0.0,0.0,5.4
ADAMS - 001229,2596,662,571,1055,8,208,0,72,25.5,22.0,40.64,0.31,8.01,0.0,2.77
ADAMS - 001230,2223,1293,266,727,18,21,0,35,58.16,11.97,32.7,0.81,0.94,0.0,1.57
ADAMS - 001231,2219,967,329,758,27,63,1,35,43.58,14.83,34.16,1.22,2.84,0.05,1.58
ADAMS - 001232,3129,1710,269,603,94,254,8,179,54.65,8.6,19.27,3.0,8.12,0.26,5.72
ADAMS - 001233,1974,406,485,936,0,79,0,69,20.57,24.57,47.42,0.0,4.0,0.0,3.5
ADAMS - 001234,1111,378,172,433,0,6,0,122,34.02,15.48,38.97,0.0,0.54,0.0,10.98
ADAMS - 001235,996,351,20,409,0,46,0,170,35.24,2.01,41.06,0.0,4.62,0.0,17.07
ADAMS - 001236,1411,324,366,561,0,86,0,76,22.96,25.94,39.76,0.0,6.09,0.0,5.39
ADAMS - 001237,1406,404,73,887,0,14,0,28,28.73,5.19,63.09,0.0,1.0,0.0,1.99
ADAMS - 001238,1271,778,37,302,1,34,0,28,61.21,2.91,23.76,0.08,2.68,0.0,2.2
ADAMS - 001239,1859,861,179,748,0,78,0,5,46.32,9.63,40.24,0.0,4.2,0.0,0.27
ADAMS - 001240,4165,1040,1751,899,1,259,5,295,24.97,42.04,21.58,0.02,6.22,0.12,7.08
ADAMS - 001241,689,313,0,139,2,0,0,33,45.43,0.0,20.17,0.29,0.0,0.0,4.79
ADAMS - 001242,876,544,0,186,0,19,0,335,62.1,0.0,21.23,0.0,2.17,0.0,38.24
ADAMS - 001243,1309,1017,2,294,0,1,0,14,77.69,0.15,22.46,0.0,0.08,0.0,1.07
ADAMS - 001244,862,761,0,80,0,0,0,8,88.28,0.0,9.28,0.0,0.0,0.0,0.93
ADAMS - 001245,476,404,0,59,0,4,0,2,84.87,0.0,12.39,0.0,0.84,0.0,0.42
ADAMS - 001246,1819,1296,47,423,19,8,0,25,71.25,2.58,23.25,1.04,0.44,0.0,1.37
ADAMS - 001247,1142,878,13,230,0,0,0,17,76.88,1.14,20.14,0.0,0.0,0.0,1.49
ADAMS - 001248,1057,880,23,151,0,0,0,22,83.25,2.18,14.29,0.0,0.0,0.0,2.08
ADAMS - 001249,379,276,0,80,0,0,0,4,72.82,0.0,21.11,0.0,0.0,0.0,1.06
