district,name,total_population,cvap_total,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 01,,119476,76.27,1.73,19.11,0.47,0.69,0.09,1.76
2,District 02,,129382,81.79,1.59,10.02,0.15,3.29,0.08,3.07
3,District 03,,128421,57.15,2.02,37.76,0.53,0.59,0.06,1.89
4,District 04,,146512,86.51,1.52,8.29,0.47,0.8,0.04,2.43
5,District 05,,122975,81.52,0.62,14.71,0.37,0.71,0.08,1.95
6,District 06,,129512,74.62,0.44,17.97,3.17,0.69,0.03,3.07
7,District 07,,127177,84.78,0.6,11.52,0.4,0.66,0.03,2.01
8,District 08,,123475,85.01,0.62,11.24,0.43,0.92,0.15,1.66
9,District 09,,127828,81.06,3.18,8.69,0.19,3.41,0.19,3.32
10,District 10,,130814,73.82,4.71,14.75,0.25,2.55,0.14,3.8
11,District 11,,117239,57.55,9.88,23.49,0.41,2.68,0.45,5.53
12,District 12,,127653,72.35,6.03,15.4,0.28,2.0,0.36,3.59
13,District 13,,110392,58.01,1.9,35.97,0.29,1.17,0.13,2.37
14,District 14,,130753,83.82,1.15,10.1,0.3,1.75,0.15,2.7
15,District 15,,128452,87.62,0.6,8.64,0.21,0.94,0.1,1.93
16,District 16,,126560,85.18,1.1,8.89,0.14,2.27,0.07,2.37
17,District 17,,125902,78.1,0.69,15.03,0.23,3.1,0.11,2.73
18,District 18,,128943,83.26,0.96,8.48,0.16,4.18,0.05,2.89
19,District 19,,126657,80.23,1.08,13.53,0.11,2.64,0.02,2.41
20,District 20,,131091,82.87,0.75,11.38,0.24,2.58,0.04,2.13
21,District 21,,110923,53.03,2.49,38.95,0.28,2.52,0.23,2.42
22,District 22,,131646,75.37,1.44,17.53,0.41,2.49,0.13,2.6
23,District 23,,130263,80.36,0.97,14.17,0.21,2.4,0.05,1.84
24,District 24,,111127,60.39,2.52,29.94,0.43,3.92,0.17,2.66
25,District 25,,128866,71.07,1.38,19.88,0.33,4.73,0.05,2.59
26,District 26,,120789,73.1,5.96,13.74,0.32,3.7,0.04,3.18
27,District 27,,120301,69.65,8.06,10.86,0.24,7.6,0.13,3.46
28,District 28,,100832,43.32,17.97,27.52,0.27,5.51,0.31,5.13
29,District 29,,108740,55.34,16.43,19.02,0.39,5.05,0.18,3.6
30,District 30,,126213,83.1,1.32,8.26,0.19,5.03,0.14,1.89
31,District 31,,137433,78.26,5.54,10.08,0.22,2.47,0.01,3.5
32,District 32,,119575,65.14,5.79,21.84,0.36,3.51,0.05,3.26
33,District 33,,109842,44.62,21.91,25.89,0.37,4.17,0.04,2.98
34,District 34,,127642,63.09,3.51,26.47,0.42,2.46,0.56,3.44
35,District 35,,131766,75.27,2.52,17.84,0.56,1.01,0.11,2.64
