contest_id,election_id,election_date,election_type,primary_party,question_text,question_type,office_id,office_name,office_modifier,district_id,district_type,district_name,candidate_id,candidate_name,retention_candidate_id,retention_candidate_name,division_id,division_type,division_name,vote_channel,is_winner,number_seats,candidate_party_id,candidate_party_name,votes
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,105,County,Elbert,,false,1,,,8472
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,105,County,Elbert,,false,1,,,9343
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,106,County,Fremont,,false,1,,,29105
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,106,County,Fremont,,false,1,,,6124
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,106,County,Fremont,,true,1,,,9072
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,106,County,Fremont,,false,1,,,1260
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,106,County,Fremont,,false,1,,,15196
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,106,County,Fremont,,false,1,,,16456
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,107,County,Garfield,,false,1,,,29112
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,107,County,Garfield,,true,1,,,8206
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,107,County,Garfield,,false,1,,,7971
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,107,County,Garfield,,false,1,,,1079
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,107,County,Garfield,,false,1,,,16177
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,107,County,Garfield,,false,1,,,17256
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,108,County,Gilpin,,false,1,,,3682
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,108,County,Gilpin,,true,1,,,1300
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,108,County,Gilpin,,false,1,,,1072
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,108,County,Gilpin,,false,1,,,111
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,108,County,Gilpin,,false,1,,,2372
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,108,County,Gilpin,,false,1,,,2483
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,109,County,Grand,,false,1,,,10326
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,109,County,Grand,,true,1,,,3153
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,109,County,Grand,,false,1,,,2870
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,109,County,Grand,,false,1,,,375
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,109,County,Grand,,false,1,,,6023
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,109,County,Grand,,false,1,,,6398
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,110,County,Gunnison,,false,1,,,13021
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,110,County,Gunnison,,true,1,,,3700
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,110,County,Gunnison,,false,1,,,2949
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,110,County,Gunnison,,false,1,,,642
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,110,County,Gunnison,,false,1,,,6649
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,110,County,Gunnison,,false,1,,,7291
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,111,County,Hinsdale,,false,1,,,681
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,111,County,Hinsdale,,false,1,,,253
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,111,County,Hinsdale,,true,1,,,293
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,111,County,Hinsdale,,false,1,,,35
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,111,County,Hinsdale,,false,1,,,546
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,111,County,Hinsdale,,false,1,,,581
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,112,County,Huerfano,,false,1,,,5131
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,112,County,Huerfano,,false,1,,,1344
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,112,County,Huerfano,,true,1,,,1520
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,112,County,Huerfano,,false,1,,,471
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,112,County,Huerfano,,false,1,,,2864
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,112,County,Huerfano,,false,1,,,3335
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,113,County,Jackson,,false,1,,,1251
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,113,County,Jackson,,false,1,,,369
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,113,County,Jackson,,true,1,,,493
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,113,County,Jackson,,false,1,,,83
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,113,County,Jackson,,false,1,,,862
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,113,County,Jackson,,false,1,,,945
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,114,County,Jefferson,,false,1,,,326610
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,114,County,Jefferson,,true,1,,,115654
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,8,No,,,114,County,Jefferson,,false,1,,,103755
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,3,Blank Votes,,,114,County,Jefferson,,false,1,,,18950
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2,Total Votes Cast,,,114,County,Jefferson,,false,1,,,219409
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,1,Total Ballots Cast,,,114,County,Jefferson,,false,1,,,238359
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,2780,Registered Voters,,,115,County,Kiowa,,false,1,,,1253
7899,38,2000-11-07T00:00:00Z,General,,Referendum E-Allow Multi-State Lottery Participation,Referendum,,,,83,State,Colorado,7,Yes,,,115,County,Kiowa,,false,1,,,320
