precinct_id,top_weight,targets_touched,weight_sum,ambiguous,target_type
08001001001,0.999999999999786,2,1.0,False,congressional
08001001002,0.9999999999998932,2,0.9999999999999999,False,congressional
08001001003,0.9999999999999777,2,1.0,False,congressional
08001001004,1.0,1,1.0,False,congressional
08001001005,1.0,1,1.0,False,congressional
08001001006,1.0,1,1.0,False,congressional
08001001007,0.9954221270748508,2,1.0,False,congressional
08001001008,0.9946609367976219,2,1.0,False,congressional
08001001009,1.0,1,1.0,False,congressional
08001001010,1.0,1,1.0,False,congressional
08001001011,1.0,1,1.0,False,congressional
08001001012,1.0,1,1.0,False,congressional
08001001013,0.9999999999999939,2,0.9999999999999998,False,congressional
08001001014,0.9999999999998743,2,0.9999999999999999,False,congressional
08001001015,0.9999999999998307,2,1.0,False,congressional
08001001016,1.0,1,1.0,False,congressional
08001001017,1.0,1,1.0,False,congressional
08001001018,1.0,1,1.0,False,congressional
08001001019,1.0,1,1.0,False,congressional
08001001020,1.0,1,1.0,False,congressional
08001001021,1.0,1,1.0,False,congressional
08001001022,1.0,1,1.0,False,congressional
08001001023,1.0,1,1.0,False,congressional
08001001024,1.0,1,1.0,False,congressional
08001001025,1.0,1,1.0,False,congressional
08001001026,1.0,1,1.0,False,congressional
08001001027,1.0,1,1.0,False,congressional
08001001028,1.0,1,1.0,False,congressional
08001001029,1.0,1,1.0,False,congressional
08001001030,1.0,1,1.0,False,congressional
08001001031,1.0,1,1.0,False,congressional
08001001032,1.0,1,1.0,False,congressional
08001001033,1.0,1,1.0,False,congressional
08001001034,1.0,1,1.0,False,congressional
08001001035,1.0,1,1.0,False,congressional
08001001036,1.0,1,1.0,False,congressional
08001001037,1.0,1,1.0,False,congressional
08001001038,1.0,1,1.0,False,congressional
08001001039,1.0,1,1.0,False,congressional
08001001040,1.0,1,1.0,False,congressional
08001001041,1.0,1,1.0,False,congressional
08001001042,1.0,1,1.0,False,congressional
08001001043,1.0,1,1.0,False,congressional
08001001044,1.0,1,1.0,False,congressional
08001001045,1.0,1,1.0,False,congressional
08001001046,1.0,1,1.0,False,congressional
08001001047,0.9999999999999997,2,1.0,False,congressional
08001001048,0.9999999999999948,2,1.0,False,congressional
08001001049,1.0,1,1.0,False,congressional
08001001050,1.0,1,1.0,False,congressional
08001001051,1.0,1,1.0,False,congressional
08001001052,1.0,1,1.0,False,congressional
08001001053,1.0,1,1.0,False,congressional
08001001054,1.0,1,1.0,False,congressional
08001001055,1.0,1,1.0,False,congressional
08001001056,0.9999999999999994,2,0.9999999999999999,False,congressional
08001001057,1.0,2,1.0,False,congressional
08001001058,1.0,1,1.0,False,congressional
08001001059,1.0,1,1.0,False,congressional
08001001060,1.0,1,1.0,False,congressional
08001001061,1.0,1,1.0,False,congressional
08001001062,1.0,1,1.0,False,congressional
08001001063,1.0,1,1.0,False,congressional
08001001064,1.0,1,1.0,False,congressional
08001001065,1.0,1,1.0,False,congressional
08001001066,1.0,1,1.0,False,congressional
08001001067,1.0,1,1.0,False,congressional
08001001068,0.9999999999999984,2,1.0,False,congressional
