target_type,precincts,avg_top_weight,median_top_weight,ambiguous_count,avg_targets_touched,ambiguous_pct,min_weight_keep
congressional,2979,0.994315929165537,1.0,11,1.0594159113796575,0.36925142665323935,0.001
state_house,2979,0.9761702019293671,1.0,51,1.1973816717019135,1.7119838872104733,0.001
state_senate,2979,0.9838971527194686,1.0,27,1.1466935213158778,0.906344410876133,0.001
