precinct_id,top_weight,targets_touched,weight_sum,ambiguous,target_type,nhgis_adjustment_rate
080013101,1.0,1,1.0,False,congressional,0.028380706287683032
080013102,1.0,1,1.0,False,congressional,0.028380706287683032
080013103,1.0,1,1.0,False,congressional,0.028380706287683032
080013104,0.72186631521859,2,0.9999999999999999,False,congressional,0.028380706287683032
080013105,1.0,1,1.0,False,congressional,0.028380706287683032
080013106,1.0,1,1.0,False,congressional,0.028380706287683032
080013107,1.0,1,1.0,False,congressional,0.028380706287683032
080013108,1.0,1,1.0,False,congressional,0.028380706287683032
080013109,1.0,1,1.0,False,congressional,0.028380706287683032
080013110,1.0,1,1.0,False,congressional,0.028380706287683032
080013111,0.6968262652688325,2,1.0,False,congressional,0.028380706287683032
080013112,1.0,1,1.0,False,congressional,0.028380706287683032
080013113,1.0,1,1.0,False,congressional,0.028380706287683032
080013114,1.0,1,1.0,False,congressional,0.028380706287683032
080013115,1.0,1,1.0,False,congressional,0.028380706287683032
080013116,1.0,1,1.0,False,congressional,0.028380706287683032
080013117,1.0,1,1.0,False,congressional,0.028380706287683032
080013118,0.7194815043511898,2,1.0,False,congressional,0.028380706287683032
080013119,1.0,1,1.0,False,congressional,0.028380706287683032
080013120,1.0,1,1.0,False,congressional,0.028380706287683032
080013121,1.0,1,1.0,False,congressional,0.028380706287683032
080013122,0.845122771505009,2,1.0,False,congressional,0.028380706287683032
080013123,1.0,1,1.0,False,congressional,0.028380706287683032
080013124,1.0,1,1.0,False,congressional,0.028380706287683032
080013201,1.0,1,1.0,False,congressional,0.028380706287683032
080013202,1.0,1,1.0,False,congressional,0.028380706287683032
080013203,1.0,1,1.0,False,congressional,0.028380706287683032
080013204,1.0,1,1.0,False,congressional,0.028380706287683032
080013205,1.0,1,1.0,False,congressional,0.028380706287683032
080013206,1.0,1,1.0,False,congressional,0.028380706287683032
080013207,1.0,1,1.0,False,congressional,0.028380706287683032
080013208,1.0,1,1.0,False,congressional,0.028380706287683032
080013209,1.0,1,1.0,False,congressional,0.028380706287683032
080013210,1.0,1,1.0,False,congressional,0.028380706287683032
080013211,1.0,1,1.0,False,congressional,0.028380706287683032
080013212,0.5205879274234069,2,1.0,True,congressional,0.028380706287683032
080013213,1.0,1,1.0,False,congressional,0.028380706287683032
080013214,1.0,1,1.0,False,congressional,0.028380706287683032
080013215,0.852563530596623,2,1.0,False,congressional,0.028380706287683032
