precinct_id,target_id,target_type,weight,piece_area,covered_area
080013101,033,state_house,1.0,8245079.91966478,8245079.91966478
080013102,031,state_house,0.7720785377153255,25721276.332793046,33314326.29756221
080013102,033,state_house,0.2279214622846745,7593049.964769165,33314326.29756221
080013103,033,state_house,1.0,1066367.5897748685,1066367.5897748685
080013104,031,state_house,0.9961633323412611,48699579.74502865,48887143.46729776
080013104,030,state_house,0.003836667658738892,187563.72226910962,48887143.46729776
080013105,031,state_house,1.0,1668321.9225712419,1668321.9225712419
080013106,031,state_house,1.0,7394239.266825566,7394239.266825566
080013107,031,state_house,1.0,605529.7057024754,605529.7057024754
080013108,031,state_house,1.0,936149.0130195072,936149.0130195072
080013109,031,state_house,1.0,1318465.2405288527,1318465.2405288527
080013110,031,state_house,1.0,1315017.9446113093,1315017.9446113093
080013111,031,state_house,0.9368574256127757,10553268.967969486,11264541.09179617
080013111,032,state_house,0.06304000188025549,710116.6916070459,11264541.09179617
080013111,030,state_house,0.00010257250696882303,1155.4322196388562,11264541.09179617
080013112,033,state_house,1.0,6270580.917136182,6270580.917136182
080013113,033,state_house,1.0,3202784.876988691,3202784.876988691
080013114,031,state_house,0.9822393745970402,2270467.7153673484,2311521.787953979
080013114,033,state_house,0.01776062540295982,41054.072586630544,2311521.787953979
080013115,031,state_house,1.0,187197.70038581087,187197.70038581087
080013116,031,state_house,1.0,2254276.3724635,2254276.3724635
080013117,031,state_house,1.0,657495.6532914926,657495.6532914926
080013118,031,state_house,0.7684534415734746,173851.14426891046,226235.10399398467
080013118,032,state_house,0.2315465584265254,52383.95972507422,226235.10399398467
080013119,031,state_house,1.0,1586021.6961083738,1586021.6961083738
080013120,031,state_house,1.0,533458.2839899517,533458.2839899517
080013121,031,state_house,1.0,1837225.956027373,1837225.956027373
080013122,031,state_house,1.0,2265629.6458591158,2265629.6458591158
080013123,031,state_house,1.0,5335949.91839277,5335949.91839277
080013124,031,state_house,1.0,1337763.5113988137,1337763.5113988137
080013201,032,state_house,0.9604974436643415,1234677.1450826356,1285455.9408011395
080013201,034,state_house,0.03950255633565846,50778.795718503854,1285455.9408011395
080013202,032,state_house,1.0,1451591.8638891291,1451591.8638891291
080013203,032,state_house,1.0,3857908.17710146,3857908.17710146
080013204,032,state_house,1.0,1042975.1359619325,1042975.1359619325
080013205,032,state_house,1.0,564575.85390575,564575.85390575
080013206,032,state_house,1.0,635046.020217133,635046.020217133
080013207,032,state_house,1.0,484435.6875513467,484435.6875513467
080013208,032,state_house,1.0,889342.0884691292,889342.0884691292
080013209,032,state_house,1.0,1020439.873194032,1020439.873194032
080013210,032,state_house,1.0,1193152.8639576447,1193152.8639576447
080013211,032,state_house,1.0,1509291.1075928381,1509291.1075928381
080013212,032,state_house,1.0,3719750.440376361,3719750.440376361
080013213,032,state_house,1.0,934409.6358050226,934409.6358050226
080013214,032,state_house,1.0,2293715.919770362,2293715.919770362
080013215,032,state_house,1.0,4189091.2742204573,4189091.2742204573
080013216,032,state_house,1.0,15550564.223208332,15550564.223208332
080013217,032,state_house,1.0,1965728.0562528286,1965728.0562528286
080013218,032,state_house,1.0,855730.2080834128,855730.2080834128
080013219,032,state_house,1.0,69472624.60645749,69472624.60645749
080013220,032,state_house,1.0,1353446.6022821902,1353446.6022821902
080013221,032,state_house,1.0,8657041.011779467,8657041.011779467
080013222,032,state_house,1.0,815244.5136786574,815244.5136786574
080013223,032,state_house,1.0,818807.5017923005,818807.5017923005
080013224,032,state_house,1.0,968899.2571054386,968899.2571054386
080013225,032,state_house,1.0,4018635.5519477394,4018635.5519477394
080013226,032,state_house,1.0,1470723.509568761,1470723.509568761
080013227,032,state_house,1.0,2637595.8052507536,2637595.8052507536
080013228,032,state_house,0.8386150680858924,589270.2295792175,702670.6912436058
080013228,031,state_house,0.1613849319141077,113400.4616643883,702670.6912436058
080013301,033,state_house,1.0,7520345.299649911,7520345.299649911
080013302,033,state_house,1.0,1826024.8530013682,1826024.8530013682
080013303,034,state_house,0.830991209965783,3866303.9262381718,4652641.18304858
080013303,033,state_house,0.16900879003421707,786337.2568104087,4652641.18304858
080013304,033,state_house,1.0,2690596.857973839,2690596.857973839
080013305,033,state_house,1.0,975575.1089985638,975575.1089985638
080013306,033,state_house,1.0,1864482.6832134344,1864482.6832134344
080013307,033,state_house,1.0,5180305.195972549,5180305.195972549
080013308,033,state_house,1.0,972548.391070642,972548.391070642
080013309,033,state_house,1.0,821342.8869691537,821342.8869691537
080013310,034,state_house,1.0,2284904.828062932,2284904.828062932
080013311,033,state_house,0.6286864923396369,1372633.0228515929,2183334.682034256
080013311,031,state_house,0.3713135076603631,810701.6591826631,2183334.682034256
080013312,034,state_house,1.0,615944.1202572236,615944.1202572236
080013313,034,state_house,1.0,390763.5290565742,390763.5290565742
080013314,034,state_house,1.0,1221394.1823396236,1221394.1823396236
080013315,034,state_house,1.0,884895.0305501263,884895.0305501263
080013316,034,state_house,1.0,1167542.2248278377,1167542.2248278377
080013317,031,state_house,1.0,695010.26591436,695010.26591436
080013318,031,state_house,1.0,1016270.3865719775,1016270.3865719775
080013319,034,state_house,1.0,629339.6369296687,629339.6369296687
080013320,034,state_house,1.0,753260.8936008923,753260.8936008923
080013321,031,state_house,1.0,431324.1380129082,431324.1380129082
080013322,031,state_house,1.0,467844.35252567375,467844.35252567375
080013323,031,state_house,1.0,454111.8501391469,454111.8501391469
080013324,031,state_house,1.0,620902.0109877788,620902.0109877788
080013325,031,state_house,1.0,2435025.730571157,2435025.730571157
080013326,031,state_house,1.0,582889.1725382034,582889.1725382034
080013327,031,state_house,1.0,1473594.9027911571,1473594.9027911571
080013328,031,state_house,1.0,591583.273685935,591583.273685935
080013329,031,state_house,1.0,1227145.051198809,1227145.051198809
080013330,031,state_house,1.0,611416.0420321581,611416.0420321581
080013331,031,state_house,1.0,1684123.0061494226,1684123.0061494226
080013332,031,state_house,1.0,492571.6446372903,492571.6446372903
080013333,031,state_house,1.0,1519330.581236329,1519330.581236329
080013334,031,state_house,1.0,557630.2967830152,557630.2967830152
080013335,031,state_house,1.0,506096.42735656013,506096.42735656013
080013336,033,state_house,1.0,1206202.6582738864,1206202.6582738864
080013337,033,state_house,1.0,708806.1115296212,708806.1115296212
080013338,033,state_house,1.0,544073.1186895898,544073.1186895898
080013339,033,state_house,1.0,3161562.2907021022,3161562.2907021022
080013340,033,state_house,0.987517724214925,1162283.6838914824,1176975.0105655026
080013340,031,state_house,0.01248227578507499,14691.326674020154,1176975.0105655026
080013341,031,state_house,1.0,417317.45285126305,417317.45285126305
080013401,034,state_house,1.0,2140337.1572405216,2140337.1572405216
080013402,035,state_house,1.0,1394430.0309140605,1394430.0309140605
080013403,035,state_house,1.0,1390812.9814004232,1390812.9814004232
080013404,035,state_house,1.0,627838.1418776314,627838.1418776314
080013405,034,state_house,1.0,2300365.119684117,2300365.119684117
080013406,035,state_house,0.562196524844133,223871.14692982344,398207.98784177995
080013406,034,state_house,0.43780347515586693,174336.84091195647,398207.98784177995
080013407,035,state_house,1.0,434257.20729427756,434257.20729427756
080013408,034,state_house,1.0,875450.9409398378,875450.9409398378
080013409,034,state_house,1.0,433602.33637759095,433602.33637759095
080013410,034,state_house,1.0,687220.8934800619,687220.8934800619
