precinct_id,target_id,target_type,weight,piece_area,covered_area
080013101,023,state_senate,1.0,8245079.91966478,8245079.91966478
080013102,024,state_senate,0.7720785377153255,25721276.332793046,33314326.29756221
080013102,023,state_senate,0.2279214622846745,7593049.964769165,33314326.29756221
080013103,023,state_senate,1.0,1066367.5897748685,1066367.5897748685
080013104,025,state_senate,1.0,48887143.46729776,48887143.46729776
080013105,024,state_senate,1.0,1668321.9225712419,1668321.9225712419
080013106,024,state_senate,1.0,7394239.266825566,7394239.266825566
080013107,024,state_senate,1.0,605529.7057024754,605529.7057024754
080013108,024,state_senate,1.0,936149.0130195072,936149.0130195072
080013109,024,state_senate,1.0,1318465.2405288527,1318465.2405288527
080013110,024,state_senate,0.5204400656757843,684388.0254583447,1315017.9446113093
080013110,025,state_senate,0.4795599343242157,630629.9191529646,1315017.9446113093
080013111,025,state_senate,1.0,11264541.09179617,11264541.09179617
080013112,023,state_senate,1.0,6270580.917136182,6270580.917136182
080013113,023,state_senate,1.0,3202784.876988691,3202784.876988691
080013114,024,state_senate,0.9822393745970402,2270467.7153673484,2311521.787953979
080013114,023,state_senate,0.01776062540295982,41054.072586630544,2311521.787953979
080013115,024,state_senate,1.0,187197.70038581087,187197.70038581087
080013116,025,state_senate,0.865260690725876,1950536.7311247902,2254276.3724635
080013116,024,state_senate,0.13473930927412403,303739.64133871,2254276.3724635
080013117,025,state_senate,1.0,657495.6532914926,657495.6532914926
080013118,025,state_senate,1.0,226235.10399398467,226235.10399398467
080013119,024,state_senate,1.0,1586021.6961083738,1586021.6961083738
080013120,025,state_senate,1.0,533458.2839899517,533458.2839899517
080013121,024,state_senate,1.0,1837225.956027373,1837225.956027373
080013122,025,state_senate,1.0,2265629.6458591158,2265629.6458591158
080013123,024,state_senate,1.0,5335949.91839277,5335949.91839277
080013124,024,state_senate,1.0,1337763.5113988137,1337763.5113988137
080013201,024,state_senate,1.0,1285455.9408011395,1285455.9408011395
080013202,024,state_senate,1.0,1451591.8638891291,1451591.8638891291
080013203,024,state_senate,1.0,3857908.17710146,3857908.17710146
080013204,024,state_senate,1.0,1042975.1359619325,1042975.1359619325
080013205,024,state_senate,1.0,564575.85390575,564575.85390575
080013206,024,state_senate,1.0,635046.020217133,635046.020217133
080013207,024,state_senate,1.0,484435.6875513467,484435.6875513467
080013208,024,state_senate,1.0,889342.0884691292,889342.0884691292
080013209,024,state_senate,1.0,1020439.873194032,1020439.873194032
080013210,024,state_senate,1.0,1193152.8639576447,1193152.8639576447
080013211,024,state_senate,1.0,1509291.1075928381,1509291.1075928381
080013212,024,state_senate,1.0,3719750.440376361,3719750.440376361
080013213,025,state_senate,1.0,934409.6358050226,934409.6358050226
080013214,025,state_senate,1.0,2293715.919770362,2293715.919770362
080013215,025,state_senate,1.0,4189091.2742204573,4189091.2742204573
080013216,025,state_senate,0.8591910942898023,13360906.291762218,15550564.223208332
080013216,024,state_senate,0.1408089057101976,2189657.9314461146,15550564.223208332
080013217,025,state_senate,1.0,1965728.0562528286,1965728.0562528286
080013218,025,state_senate,1.0,855730.2080834128,855730.2080834128
080013219,025,state_senate,1.0,69472624.60645749,69472624.60645749
080013220,025,state_senate,1.0,1353446.6022821902,1353446.6022821902
080013221,025,state_senate,1.0,8657041.011779467,8657041.011779467
080013222,025,state_senate,1.0,815244.5136786574,815244.5136786574
080013223,025,state_senate,1.0,818807.5017923005,818807.5017923005
080013224,025,state_senate,1.0,968899.2571054386,968899.2571054386
080013225,025,state_senate,1.0,4018635.5519477394,4018635.5519477394
080013226,025,state_senate,1.0,1470723.509568761,1470723.509568761
080013227,025,state_senate,1.0,2637595.8052507536,2637595.8052507536
080013228,025,state_senate,1.0,702670.6912436058,702670.6912436058
080013301,023,state_senate,1.0,7520345.299649911,7520345.299649911
080013302,023,state_senate,1.0,1826024.8530013682,1826024.8530013682
080013303,023,state_senate,1.0,4652641.18304858,4652641.18304858
080013304,023,state_senate,1.0,2690596.857973839,2690596.857973839
080013305,023,state_senate,1.0,975575.1089985638,975575.1089985638
080013306,023,state_senate,1.0,1864482.6832134344,1864482.6832134344
080013307,023,state_senate,1.0,5180305.195972549,5180305.195972549
080013308,023,state_senate,1.0,972548.391070642,972548.391070642
080013309,023,state_senate,1.0,821342.8869691537,821342.8869691537
080013310,024,state_senate,0.6929832653764304,1583400.8088254218,2284904.828062932
080013310,023,state_senate,0.30701673462356965,701504.0192375103,2284904.828062932
080013311,023,state_senate,0.6286864923396369,1372633.0228515929,2183334.682034256
080013311,024,state_senate,0.3713135076603631,810701.6591826631,2183334.682034256
080013312,024,state_senate,1.0,615944.1202572236,615944.1202572236
080013313,024,state_senate,1.0,390763.5290565742,390763.5290565742
080013314,024,state_senate,1.0,1221394.1823396236,1221394.1823396236
080013315,024,state_senate,1.0,884895.0305501263,884895.0305501263
080013316,024,state_senate,1.0,1167542.2248278377,1167542.2248278377
