precinct_id,target_id,target_type,weight,piece_area,covered_area
080013101,02,congressional,1.0,8245079.91966478,8245079.91966478
080013102,02,congressional,1.0,33314326.29756221,33314326.29756221
080013103,02,congressional,1.0,1066367.5897748685,1066367.5897748685
080013104,07,congressional,0.72186631521859,35289982.1163008,48887143.46729776
080013104,02,congressional,0.2781336847814099,13597161.350996958,48887143.46729776
080013105,02,congressional,1.0,1668321.9225712419,1668321.9225712419
080013106,02,congressional,1.0,7394239.266825566,7394239.266825566
080013107,02,congressional,1.0,605529.7057024754,605529.7057024754
080013108,02,congressional,1.0,936149.0130195072,936149.0130195072
080013109,02,congressional,1.0,1318465.2405288527,1318465.2405288527
080013110,02,congressional,1.0,1315017.9446113093,1315017.9446113093
080013111,07,congressional,0.6968262652688325,7849428.098963623,11264541.09179617
080013111,02,congressional,0.3031737347311675,3415112.992832548,11264541.09179617
080013112,02,congressional,1.0,6270580.917136182,6270580.917136182
080013113,02,congressional,1.0,3202784.876988691,3202784.876988691
080013114,02,congressional,1.0,2311521.787953979,2311521.787953979
080013115,02,congressional,1.0,187197.70038581087,187197.70038581087
080013116,02,congressional,1.0,2254276.3724635,2254276.3724635
080013117,02,congressional,1.0,657495.6532914926,657495.6532914926
080013118,07,congressional,0.7194815043511898,162771.97295863996,226235.10399398467
080013118,02,congressional,0.28051849564881015,63463.131035344704,226235.10399398467
080013119,02,congressional,1.0,1586021.6961083738,1586021.6961083738
080013120,02,congressional,1.0,533458.2839899517,533458.2839899517
080013121,02,congressional,1.0,1837225.956027373,1837225.956027373
080013122,02,congressional,0.845122771505009,1914735.2055123681,2265629.6458591158
080013122,07,congressional,0.15487722849499097,350894.44034674775,2265629.6458591158
080013123,02,congressional,1.0,5335949.91839277,5335949.91839277
080013124,02,congressional,1.0,1337763.5113988137,1337763.5113988137
080013201,02,congressional,1.0,1285455.9408011395,1285455.9408011395
080013202,02,congressional,1.0,1451591.8638891291,1451591.8638891291
080013203,02,congressional,1.0,3857908.17710146,3857908.17710146
080013204,02,congressional,1.0,1042975.1359619325,1042975.1359619325
080013205,02,congressional,1.0,564575.85390575,564575.85390575
080013206,02,congressional,1.0,635046.020217133,635046.020217133
080013207,02,congressional,1.0,484435.6875513467,484435.6875513467
080013208,02,congressional,1.0,889342.0884691292,889342.0884691292
080013209,02,congressional,1.0,1020439.873194032,1020439.873194032
080013210,02,congressional,1.0,1193152.8639576447,1193152.8639576447
080013211,02,congressional,1.0,1509291.1075928381,1509291.1075928381
080013212,02,congressional,0.5205879274234069,1936457.1722878346,3719750.440376361
080013212,07,congressional,0.47941207257659324,1783293.2680885266,3719750.440376361
080013213,02,congressional,1.0,934409.6358050226,934409.6358050226
080013214,02,congressional,1.0,2293715.919770362,2293715.919770362
080013215,07,congressional,0.852563530596623,3571466.4467408992,4189091.2742204573
080013215,02,congressional,0.14743646940337704,617624.8274795582,4189091.2742204573
080013216,07,congressional,0.869508904093518,13521354.055757746,15550564.223208332
080013216,02,congressional,0.130491095906482,2029210.1674505863,15550564.223208332
080013217,07,congressional,1.0,1965728.0562528286,1965728.0562528286
080013218,07,congressional,1.0,855730.2080834128,855730.2080834128
080013219,07,congressional,1.0,69472624.60645749,69472624.60645749
080013220,07,congressional,1.0,1353446.6022821902,1353446.6022821902
080013221,07,congressional,1.0,8657041.011779467,8657041.011779467
080013222,07,congressional,1.0,815244.5136786574,815244.5136786574
080013223,07,congressional,1.0,818807.5017923005,818807.5017923005
080013224,07,congressional,1.0,968899.2571054386,968899.2571054386
080013225,07,congressional,1.0,4018635.5519477394,4018635.5519477394
080013226,07,congressional,1.0,1470723.509568761,1470723.509568761
080013227,07,congressional,1.0,2637595.8052507536,2637595.8052507536
080013228,02,congressional,1.0,702670.6912436058,702670.6912436058
080013301,02,congressional,1.0,7520345.299649911,7520345.299649911
080013302,02,congressional,1.0,1826024.8530013682,1826024.8530013682
080013303,02,congressional,1.0,4652641.18304858,4652641.18304858
080013304,02,congressional,1.0,2690596.857973839,2690596.857973839
080013305,02,congressional,1.0,975575.1089985638,975575.1089985638
080013306,02,congressional,1.0,1864482.6832134344,1864482.6832134344
080013307,02,congressional,1.0,5180305.195972549,5180305.195972549
080013308,02,congressional,1.0,972548.391070642,972548.391070642
080013309,02,congressional,1.0,821342.8869691537,821342.8869691537
080013310,02,congressional,1.0,2284904.828062932,2284904.828062932
080013311,02,congressional,1.0,2183334.682034256,2183334.682034256
080013312,02,congressional,1.0,615944.1202572236,615944.1202572236
080013313,02,congressional,1.0,390763.5290565742,390763.5290565742
080013314,02,congressional,1.0,1221394.1823396236,1221394.1823396236
080013315,02,congressional,1.0,884895.0305501263,884895.0305501263
080013316,02,congressional,1.0,1167542.2248278377,1167542.2248278377
080013317,02,congressional,1.0,695010.26591436,695010.26591436
080013318,02,congressional,1.0,1016270.3865719775,1016270.3865719775
080013319,02,congressional,1.0,629339.6369296687,629339.6369296687
